,Fermi.name,Spectral.Index,Radio.flux.mJy.,flux_density,curve_significance,flux_100_300_mev,flux_0p3_1_gev,flux_10_100_gev,variability_index,Optical.Class
277,3FGL J1557.4-7040,2.3009,275.7,4.97E-13,0.043,9.24E-09,1.82E-09,2.17E-11,47.616455, fsrq 
278,3FGL J1559.7+8512,2.3513,138.5463,1.15E-12,0.359,1.44E-08,2.40E-09,1.71E-11,61.580879, bll 
279,3FGL J1559.8-2525,1.9439,45.3682,1.01E-14,0.551,6.94E-09,7.32E-10,4.14E-11,31.116207, bll 
280,3FGL J1607.9-2040,2.0147,336.2998,6.28E-14,0.991,2.05E-09,1.29E-09,4.18E-11,39.386665, fsrq 
281,3FGL J1612.4-3100,1.8796,195.02,2.19E-13,4.021,1.53E-13,1.15E-09,4.64E-11,63.038345, bll 
282,3FGL J1626.4-7640,1.9903,129.8,3.86E-14,0.205,6.64E-09,7.78E-10,5.09E-11,49.226883, bll 
283,3FGL J1628.2+7703,2.4491,199.289,4.07E-13,0.077,4.08E-09,1.16E-09,1.01E-11,47.01215, bll 
284,3FGL J1630.8+1047,2.8045,148.2598,8.11E-12,1.725,1.18E-08,3.27E-09,5.94E-12,47.651043, bll 
285,3FGL J1636.7+2624,2.0393,20.5084,5.70E-14,1.723,7.29E-11,8.56E-10,2.43E-11,37.260525, bll 
286,3FGL J1640.9+1142,2.2956,326.6183,1.42E-13,0.554,5.31E-09,1.13E-09,9.10E-12,36.610058, bll 
287,3FGL J1643.6-0642,2.0713,28.7901,3.73E-14,1.025,3.03E-08,1.86E-09,7.14E-11,49.377495, bll 
288,3FGL J1647.1-6438,2.1893,643.6,2.00E-13,0.053,5.70E-09,2.19E-09,3.81E-11,67.819305, fsrq 
289,3FGL J1647.4+4950,2.4291,178.0816,8.39E-12,2.348,3.11E-08,7.11E-09,4.44E-11,132.653702, bll 
290,3FGL J1656.0+2044,2.4929,15.0611,1.60E-12,0.844,9.50E-09,2.33E-09,1.92E-11,89.697083, fsrq 
291,3FGL J1656.8-2010,1.961,37.3472,1.51E-13,3.646,5.18E-14,2.16E-09,3.07E-11,47.877453, fsrq 
292,3FGL J1704.0+7646,2.5738,65.0025,1.74E-12,0.666,9.49E-09,1.68E-09,2.83E-15,116.494438, fsrq 
293,3FGL J1711.6+8846,1.5702,11.9521,4.21E-15,1.773,1.09E-09,3.45E-11,5.13E-11,38.678677, bll 
294,3FGL J1714.1-2029,1.344,8.5333,2.28E-15,1.496,4.86E-09,1.63E-14,9.68E-11,45.157738, bll 
295,3FGL J1716.7-8112,2.06,106.6,2.18E-14,0.024,6.14E-09,6.34E-10,1.65E-11,42.002537, fsrq 
296,3FGL J1719.3+1206,2.0776,57.565,4.45E-14,1.623,2.33E-09,1.08E-09,5.14E-11,30.406544, bll 
297,3FGL J1723.5-5609,2.618,162.8,1.10E-12,1.066,1.43E-08,1.79E-09,1.38E-11,51.26638, fsrq 
298,3FGL J1723.7-7713,2.4706,518.3,3.80E-12,2.524,2.30E-08,4.60E-09,1.11E-11,160.428329, fsrq 
299,3FGL J1735.4-1118,2.1564,84.2725,1.06E-13,0.435,7.01E-09,4.08E-09,7.85E-11,45.571793, bll 
300,3FGL J1736.0+2033,1.7217,24.8375,3.59E-14,2.744,1.70E-14,1.62E-10,1.03E-10,61.143864, fsrq 
301,3FGL J1739.0+8716,2.2773,61.7812,6.35E-13,0.291,4.87E-09,2.52E-09,2.80E-11,273.564087, bll 
302,3FGL J1740.4+5347,2.0188,49.3026,3.54E-14,0.486,7.24E-09,3.92E-10,2.64E-11,41.344936, fsrq 
303,3FGL J1753.5-5010,2.5054,266,2.65E-12,1.378,1.22E-08,4.15E-09,6.44E-15,258.766113, fsrq 
304,3FGL J1757.1+1533,2.045,180.3204,6.95E-14,2.729,1.63E-10,8.38E-10,1.08E-15,44.945999, bll 
305,3FGL J1757.4+6536,2.3173,39.909,9.20E-14,1.601,7.23E-09,8.64E-10,2.65E-11,46.101543, bll 
306,3FGL J1759.1-4822,2.296,185.1,1.15E-12,1.802,1.73E-08,4.43E-09,3.67E-11,235.150787, bll 
307,3FGL J1807.8+6427,2.0925,61.0566,3.85E-14,0.268,8.24E-10,5.48E-10,2.17E-11,62.843307, fsrq 
308,3FGL J1819.1+2134,2.2508,78.6726,1.78E-13,0.895,4.61E-09,1.31E-09,5.82E-11,45.680485, bll 
309,3FGL J1820.3+3625,1.7768,13.8969,8.97E-15,0.548,3.27E-09,5.78E-10,5.96E-11,35.126232, bll 
310,3FGL J1824.4+4310,1.7248,33.7259,5.01E-15,1.358,6.10E-11,1.77E-13,2.55E-11,27.728901, bll 
311,3FGL J1825.2-5230,2.0174,483.7,5.42E-12,3.863,1.26E-08,7.10E-09,6.18E-11,310.30896, fsrq 
312,3FGL J1830.0-4439,2.2166,404.3,1.81E-11,4.188,2.53E-08,7.69E-09,3.29E-15,269.671875, fsrq 
313,3FGL J1838.5-6006,1.8567,79.6,2.78E-14,2.511,1.98E-09,5.43E-10,3.37E-11,43.57299, bll 
314,3FGL J1841.2+2910,1.5671,64.6497,5.01E-15,0.404,7.75E-09,7.72E-10,1.14E-10,40.218906, bll 
315,3FGL J1842.3-5841,1.6955,-999,1.60E-14,1.33,2.02E-11,1.08E-09,6.68E-11,55.33522, bll 
316,3FGL J1848.1-4230,1.9514,102,3.18E-14,1.662,1.62E-11,1.27E-09,2.65E-11,39.607868, fsrq 
317,3FGL J1855.1-6008,1.8128,83.6,7.89E-15,2.082,4.43E-12,1.85E-10,2.42E-11,31.533621, fsrq 
318,3FGL J1858.4-2509,2.2876,193.9442,1.67E-12,2.814,1.01E-08,6.86E-09,4.82E-12,107.785065, fsrq 
319,3FGL J1904.5+3627,2.0983,98.8065,8.12E-14,1.008,1.04E-08,3.21E-14,3.55E-11,38.305275, bll 
